epoca,loss_train,loss_val,acc_train,acc_val
1,1.2170587662736712,1.1514519272761765,0.3333719515727278,0.33317886932344765
2,1.1509220360537438,1.115673087704744,0.3333719515727278,0.33317886932344765
3,1.1153412805700211,1.092847289175478,0.3333140242136361,0.4983781278962002
4,1.092737583569251,1.0760586445275806,0.49458379192492613,0.5454124189063948
5,1.0761794156944733,1.0623082539958288,0.5453281584892544,0.5623262279888785
6,1.062660293061529,1.0502158781712367,0.5594045067485374,0.5769230769230769
7,1.0507963503624544,1.0391263119883345,0.5730753634941783,0.5933734939759037
8,1.0399307508203204,1.028719631058122,0.5903956438625964,0.6075069508804448
9,1.0297429777277416,1.018832411496953,0.6063256676128135,0.6075069508804448
10,1.0200695602885972,1.009374772546204,0.6077159242310143,0.6105189990732159
11,1.0108208470862803,1.0002919690454217,0.606615304408272,0.6056533827618165
12,1.0019424481802834,0.991546668667361,0.6050512657127961,0.6065801668211307
13,0.9933974284648607,0.983110755457149,0.6041823553264206,0.6088971269694161
14,0.9851580657103844,0.9749614860858873,0.6056884666628048,0.6075069508804448
15,0.9772019836380932,0.9670796255277871,0.6059201760991716,0.6102873030583874
16,0.9695102772764521,0.9594484838348982,0.6080634883855645,0.6126042632066728
17,0.9620665466429947,0.9520533677726065,0.6091061808492151,0.6137627432808156
18,0.9548563491767413,0.9448812291562728,0.6102068006719573,0.6146895273401297
19,0.9478668508090591,0.9379204120880719,0.611249493135608,0.6142261353104727
20,0.9410865767555077,0.93116045493631,0.6114812025719747,0.6139944392956441
21,0.9345052172539048,0.9245919266630729,0.6108440016219661,0.6142261353104727
22,0.9281134675312324,0.91820628759449,0.6104964374674159,0.6135310472659871
23,0.9219028919396575,0.9119957693657815,0.6114812025719747,0.6142261353104727
24,0.9158658069344295,0.9059532708532476,0.6115391299310664,0.6146895273401297
25,0.9099951796971278,0.9000722678748203,0.6113653478537914,0.6142261353104727
26,0.9042845402026221,0.8943467349298044,0.6117129120083415,0.6139944392956441
27,0.8987279050283107,0.8887710775283684,0.6118866940856167,0.6139944392956441
28,0.8933197114876729,0.8833400738480371,0.6122342582401669,0.6151529193697869
29,0.8880547608564572,0.8780488245969141,0.6131610959856341,0.6149212233549582
30,0.8829281696000605,0.8728927100823995,0.6128714591901755,0.6132993512511585
31,0.8779353276267688,0.8678673535887207,0.612581822394717,0.6130676552363299
32,0.8730718626930324,0.8629685902606404,0.6120025488038,0.6116774791473587
33,0.8683336101781367,0.8581924407762007,0.6115391299310664,0.6105189990732159
34,0.8637165875285381,0.8535350891693309,0.6108440016219661,0.610982391102873
35,0.8592169727478306,0.8489928642342955,0.6107860742628743,0.6114457831325302
36,0.854831086377489,0.8445622240087368,0.6101488733128657,0.6114457831325302
37,0.8505553764766102,0.840239742890924,0.610090945953774,0.6114457831325302
38,0.8463864061662671,0.8360221010001183,0.6099750912355906,0.6114457831325302
39,0.842320843356116,0.8319060754370722,0.610090945953774,0.6121408711770158
40,0.8383554523179241,0.8278885331449509,0.6107281469037826,0.6116774791473587
41,0.834487086813003,0.8239664251097744,0.6110757110583328,0.6114457831325302
42,0.8307126845185212,0.8201367816741315,0.6110177836992412,0.6119091751621872
43,0.8270292625316094,0.8163967087688035,0.6109598563401495,0.6130676552363299
44,0.823433913760432,0.8127433848943361,0.6111336384174245,0.6144578313253012
45,0.8199238040382543,0.8091740587088501,0.611828766726525,0.6144578313253012
46,0.8164961698203043,0.8056860470997682,0.6119446214447083,0.6151529193697869
47,0.8131483163441947,0.8022767336359252,0.6126397497538087,0.6172381835032438
48,0.8098776161530895,0.7989435673129976,0.6142037884492846,0.6177015755329008
49,0.8066815078969398,0.7956840615195437,0.6147251346811099,0.6195551436515292
50,0.8035574953411816,0.7924957931634347,0.6155940450674854,0.6204819277108434
51,0.8005031465245216,0.7893764019092631,0.6173897931993281,0.6225671918443003
52,0.7975160930180141,0.7863235894866222,0.6187800498175288,0.6230305838739574
53,0.7945940292467458,0.7833351190371398,0.6195910328448127,0.623725671918443
54,0.7917347118432538,0.7804088144749578,0.6205178705902797,0.626274328081557
55,0.7889359590084577,0.7775425598411274,0.6211550715402885,0.6265060240963856
56,0.786195649861523,0.77473429863726,0.6221977640039391,0.6265060240963856
57,0.7835117237648231,0.7719820331278381,0.6224874007993976,0.6272011121408712
58,0.7808821796141292,0.7692838236039838,0.6235300932630481,0.6281278962001854
59,0.7783050750874434,0.7666377876042445,0.623761802699415,0.6295180722891566
60,0.7757785258485835,0.7640420990902272,0.6246307130857904,0.6302131603336423
61,0.7733007047038128,0.7614949875767157,0.6263685338585414,0.6309082483781279
