tipo_capa,origen,destino,peso,peso_absoluto,importancia_%
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_1,0.1738825679298263,0.1738825679298263,0.03461950858268203
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_2,-0.404304430381317,0.404304430381317,0.08049582464903016
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_3,-0.6332504388790359,0.6332504388790359,0.12607830252775726
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_4,0.7077722738008928,0.7077722738008928,0.14091538099047937
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_5,0.06905653097006292,0.06905653097006292,0.013748952497487591
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_6,-0.28943102136949184,0.28943102136949184,0.057624866297346714
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_7,0.9854908768823287,0.9854908768823287,0.1962083392059823
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_8,1.1215740422234273,1.1215740422234273,0.22330209774988632
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_9,-0.6605028817925069,0.6605028817925069,0.1315041838715543
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_10,-0.37699094190240046,0.37699094190240046,0.07505778931244343
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_11,-0.034522507918768854,0.034522507918768854,0.006873329934210849
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_12,0.6405965717792815,0.6405965717792815,0.1275408960126442
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_13,-0.34729041974868835,0.34729041974868835,0.06914450258190968
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_14,-0.7524680563171585,0.7524680563171585,0.14981418001820027
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_15,-0.4165210889230286,0.4165210889230286,0.08292812548442594
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_16,0.7947599539113144,0.7947599539113144,0.1582343726181259
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_17,0.5042665425555318,0.5042665425555318,0.10039798759474224
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_18,-0.20430949121363143,0.20430949121363143,0.040677419644781165
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_19,-0.2531523968516202,0.2531523968516202,0.050401898705959305
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_20,0.19374888114308486,0.19374888114308486,0.03857483319618908
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_21,0.49985287559005903,0.49985287559005903,0.09951923946483222
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_22,-0.3599420290724683,0.3599420290724683,0.07166340084056722
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_23,0.19087424847045897,0.19087424847045897,0.03800250227384963
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_24,-0.01317813513009999,0.01317813513009999,0.0026237280002924554
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_25,-0.009584295630316743,0.009584295630316743,0.0019082051109724706
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_26,-0.47699558179780815,0.47699558179780815,0.09496841940254133
Capa 1 - Entrada a Oculta 1,margen_pct,Neurona H1_27,-0.17525282600291456,0.17525282600291456,0.03489232294059347
