epoca,loss_train,loss_val,acc_train,acc_val
1,1.1063021647221496,1.0859105799266873,0.3115571776155718,0.321654501216545
2,1.087549007546022,1.0705073039073463,0.3130170316301703,0.4369829683698297
3,1.072194907678936,1.057482546344998,0.43467153284671534,0.41897810218978104
4,1.0592176813453003,1.0461611967151752,0.4152068126520681,0.41362530413625304
5,1.0479410104749791,1.0360806900439585,0.40693430656934304,0.5138686131386861
6,1.0379018862163578,1.0269130688098411,0.5075425790754258,0.6588807785888078
7,1.028772359936902,1.0184205294167523,0.6489051094890511,0.672992700729927
8,1.0203148252611238,1.0104303966248416,0.6592457420924575,0.6725060827250608
9,1.0123568138272325,1.0028189797483078,0.659610705596107,0.6734793187347932
10,1.004774769432349,0.9954994374812841,0.6592457420924575,0.6710462287104623
11,0.9974819039522704,0.9884121185299645,0.658272506082725,0.6720194647201947
12,0.9904185675284917,0.9815168727734278,0.6597323600973236,0.6705596107055961
13,0.9835446013628089,0.9747869908848124,0.6590024330900244,0.6720194647201947
14,0.9768333159208766,0.9682044745188704,0.6592457420924575,0.6705596107055961
15,0.9702667886653591,0.9617564267190079,0.6613138686131387,0.6759124087591241
16,0.9638322666132139,0.9554324484929095,0.6632603406326034,0.6749391727493917
17,0.9575195583254766,0.9492229702380538,0.6631386861313868,0.6778588807785888
18,0.9513193466853096,0.9431184112316197,0.6631386861313868,0.678345498783455
19,0.945222322270847,0.9371089820376034,0.6652068126520682,0.6817518248175183
20,0.9392189602677691,0.9311848889616188,0.667396593673966,0.6856447688564477
21,0.9332997063279469,0.9253367072005627,0.6701946472019464,0.6856447688564477
22,0.9274553405502061,0.9195557512912726,0.6701946472019464,0.6880778588807785
23,0.9216773472535951,0.9138343508263758,0.6727493917274939,0.6880778588807785
24,0.9159581957134116,0.9081660042156272,0.6738442822384428,0.6900243309002433
25,0.9102915015762173,0.9025454216147953,0.6762773722627737,0.6924574209245742
26,0.9046720776719547,0.896968483805324,0.6778588807785888,0.6948905109489051
27,0.8990958995197894,0.8914321460675597,0.6804136253041363,0.6948905109489051
28,0.8935600138941187,0.8859343128726734,0.6801703163017032,0.6958637469586375
29,0.8880624161940153,0.8804737049395569,0.6821167883211678,0.697323600973236
30,0.8826019184750926,0.8750497362811385,0.6835766423357664,0.7002433090024331
31,0.8771780263175517,0.8696624149891236,0.6869829683698296,0.6997566909975669
32,0.8717908389342642,0.8643122767697745,0.6861313868613139,0.7031630170316302
33,0.8664409821702099,0.8590003539239801,0.6879562043795621,0.7046228710462287
34,0.8611295775915211,0.8537281745089654,0.6891727493917275,0.7085158150851582
35,0.8558582426670516,0.8484977777157089,0.6899026763990268,0.7094890510948905
36,0.8506291080248073,0.8433117239553303,0.6901459854014599,0.7099756690997567
37,0.8454448298783745,0.8381730744550312,0.6907542579075425,0.7075425790754258
38,0.8403085717220439,0.8330853179999652,0.6909975669099757,0.7085158150851582
39,0.8352239320585592,0.8280522331323703,0.6924574209245742,0.7085158150851582
40,0.830194805650856,0.8230776911035425,0.6935523114355231,0.7099756690997567
41,0.8252251830979975,0.8181654232862733,0.6952554744525548,0.7094890510948905
42,0.8203189125040122,0.8133187898107459,0.6944038929440389,0.7114355231143552
43,0.8154794607006168,0.8085405884060123,0.6957420924574209,0.7143552311435523
44,0.8107097141997127,0.8038329327540564,0.697323600973236,0.7177615571776156
45,0.8060118505402155,0.7991972121921732,0.6987834549878346,0.7167883211678832
