tipo_capa,origen,destino,peso,peso_absoluto,importancia_%
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_1,0.10199929465368547,0.10199929465368547,0.02067133530510801
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_2,-0.135528840373111,0.135528840373111,0.027466485061265186
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_3,-0.1652941428994668,0.1652941428994668,0.033498767451740005
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_4,-0.052347979393096426,0.052347979393096426,0.010608922721020816
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_5,0.12768157310312103,0.12768157310312103,0.025876145701394904
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_6,0.03164596193967496,0.03164596193967496,0.006413419744996943
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_7,0.3920576789266588,0.3920576789266588,0.07945501748371664
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_8,0.08184679197076523,0.08184679197076523,0.016587197845039005
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_9,-0.14995273803764705,0.14995273803764705,0.03038965454045154
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_10,-0.1626335566011383,0.1626335566011383,0.03295956890465537
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_11,-0.07411209369756272,0.07411209369756272,0.015019671892707023
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_12,0.2704422491266402,0.2704422491266402,0.05480824579567169
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_13,0.04043639864425655,0.04043639864425655,0.008194903285796792
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_14,-0.32502410168082224,0.32502410168082224,0.06586988871734356
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_15,-0.043604152162620015,0.043604152162620015,0.00883688512855712
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_16,0.20200013536628575,0.20200013536628575,0.04093766083394015
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_17,-0.1656607904611612,0.1656607904611612,0.03357307281544196
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_18,-0.2600669312443304,0.2600669312443304,0.0527055677764707
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_19,-0.0010628027490681541,0.0010628027490681541,0.0002153892540509306
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_20,0.028864343815626574,0.028864343815626574,0.005849692700332598
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_21,0.10013832963524387,0.10013832963524387,0.020294189247207377
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_22,0.1577412305056115,0.1577412305056115,0.03196808250775498
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_23,0.08983042920768633,0.08983042920768633,0.018205174153983796
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_24,0.043088978748226106,0.043088978748226106,0.008732479285111134
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_25,0.14648900716830848,0.14648900716830848,0.029687689468537545
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_26,-0.029612153348261113,0.029612153348261113,0.006001244940433173
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_27,-0.11627455169490408,0.11627455169490408,0.02356438104495884
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_28,-0.11350020117051454,0.11350020117051454,0.023002126863316947
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_29,-0.03639209852982064,0.03639209852982064,0.007375279149925666
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_30,0.05566605123076549,0.05566605123076549,0.011281368307588555
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_31,-0.18790801486362138,0.18790801486362138,0.038081729829126706
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_32,-0.07857832126525853,0.07857832126525853,0.01592480450087081
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_33,-0.004160564794475021,0.004160564794475021,0.0008431865163110069
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_34,0.052045568855655464,0.052045568855655464,0.010547635732316978
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_35,0.018482780214102018,0.018482780214102018,0.003745748913985397
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_36,-0.10938966499705055,0.10938966499705055,0.022169079224958796
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_37,-0.050252461191505386,0.050252461191505386,0.010184241751116872
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_38,0.126528551985065,0.126528551985065,0.025642472652712252
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_39,0.25535359841490196,0.25535359841490196,0.05175035643258355
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_40,0.025892943564143095,0.025892943564143095,0.005247504115277732
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_41,0.05330360959622417,0.05330360959622417,0.010802592220634639
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_42,-0.2102032365105499,0.2102032365105499,0.04260011403884251
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_43,-0.13731730228079841,0.13731730228079841,0.027828937526252734
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_44,0.023628159257221226,0.023628159257221226,0.00478851941385326
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_45,0.1959888737480262,0.1959888737480262,0.03971940922798868
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_46,-0.09238976563558715,0.09238976563558715,0.01872385324523969
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_47,-0.1393591624175427,0.1393591624175427,0.028242744069485036
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_48,0.31256234883826534,0.31256234883826534,0.06334437055202193
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_49,0.000868695856573423,0.000868695856573423,0.00017605125006360438
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_50,0.05139970273944767,0.05139970273944767,0.010416743503153343
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_51,-0.2170379569709123,0.2170379569709123,0.04398524909132033
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_52,0.2075933056442384,0.2075933056442384,0.04207118140020169
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_53,0.004037942387027367,0.004037942387027367,0.0008183356689705793
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_54,0.03786072708724854,0.03786072708724854,0.007672913691932297
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_55,-0.06424202100381135,0.06424202100381135,0.013019387647300693
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_56,-0.04054565669224814,0.04054565669224814,0.008217045691315221
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_57,-0.03932963324780061,0.03932963324780061,0.007970604493418772
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_58,0.1329113649346211,0.1329113649346211,0.02693602342792139
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_59,0.08807058213313305,0.08807058213313305,0.017848520815474757
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_60,0.05877860906643144,0.05877860906643144,0.011912164107658016
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_61,0.06511085065179935,0.06511085065179935,0.01319546601173995
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_62,0.08762140113723939,0.08762140113723939,0.017757489097948418
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_63,0.0817708146291554,0.0817708146291554,0.016571800159110493
Capa 1 - Entrada a Oculta 1,precio_nuestro,Neurona H1_64,0.11379430349389384,0.11379430349389384,0.023061730096468964
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_1,0.19677605192014977,0.19677605192014977,0.03987893997764804
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_2,-0.24914458495637198,0.24914458495637198,0.050492028131873444
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_3,0.1436217270650038,0.1436217270650038,0.029106602034253665
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_4,-0.19787432926755436,0.19787432926755436,0.04010151856883622
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_5,-0.21193572395399218,0.21193572395399218,0.042951222632062476
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_6,0.08295649121465502,0.08295649121465502,0.016812091215489797
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_7,-0.13569637467470047,0.13569637467470047,0.027500437822752615
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_8,0.238547514886851,0.238547514886851,0.04834440947036657
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_9,-0.035143538570779835,0.035143538570779835,0.0071222440515017575
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_10,0.09095352695599568,0.09095352695599568,0.018432782886127864
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_11,-0.2714877936810045,0.2714877936810045,0.055020137477208075
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_12,0.1524565349019176,0.1524565349019176,0.030897077897573195
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_13,0.07218231257539019,0.07218231257539019,0.014628579456456977
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_14,-0.21964780545746235,0.21964780545746235,0.04451416503475088
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_15,-0.21831487994278567,0.21831487994278567,0.04424403228192973
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_16,0.14178953279185735,0.14178953279185735,0.028735286700231982
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_17,-0.11042725240565879,0.11042725240565879,0.02237935829899084
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_18,0.016160286199243118,0.016160286199243118,0.0032750686736145378
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_19,0.02664654193695517,0.02664654193695517,0.005400229530709998
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_20,-0.04102895016269,0.04102895016269,0.008314990695858565
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_21,0.21753716283831356,0.21753716283831356,0.04408641892691934
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_22,0.12083079988626043,0.12083079988626043,0.024487757372379508
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_23,-0.11747070280345631,0.11747070280345631,0.023806794884431076
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_24,-0.29395753245159856,0.29395753245159856,0.059573889597967
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_25,-0.019646095569589107,0.019646095569589107,0.003981508208797203
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_26,-0.012748327617529264,0.012748327617529264,0.0025835958538346073
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_27,0.08981201149334501,0.08981201149334501,0.01820144159142054
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_28,0.31209847906025695,0.31209847906025695,0.06325036198312275
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_29,-0.05272912349048704,0.05272912349048704,0.010686165975138159
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_30,0.08259244931825771,0.08259244931825771,0.016738313919959606
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_31,0.04189305598436276,0.04189305598436276,0.008490111722327822
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_32,0.04867854286272321,0.04867854286272321,0.009865269020691859
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_33,-0.21924815491570562,0.21924815491570562,0.044433171235905795
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_34,-0.0074488971269329775,0.0074488971269329775,0.0015096050486122033
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_35,-0.15910782879907984,0.15910782879907984,0.03224503943816892
Capa 1 - Entrada a Oculta 1,precio_competidor,Neurona H1_36,-0.04243795795737828,0.04243795795737828,0.00860054240158754
