epoca,loss_train,loss_val,acc_train,acc_val
1,1.084503019136735,1.0769567042597612,0.4027777777777778,0.40540540540540543
2,1.0742773546676803,1.0691370972037146,0.4072822822822823,0.4189189189189189
3,1.0667577427399717,1.0625845998872865,0.4207957957957958,0.5960960960960962
4,1.0604524546047458,1.0566316371630187,0.5852102102102102,0.5960960960960962
5,1.0547127750742709,1.0509798793873137,0.5882132132132132,0.5960960960960962
6,1.0492527536866807,1.045493071848196,0.5885885885885885,0.5960960960960962
7,1.0439442839185542,1.0401067011675558,0.5882132132132132,0.5945945945945946
8,1.038728218236602,1.0347883421909714,0.5912162162162162,0.5960960960960962
9,1.0335756632160626,1.0295201881365132,0.5942192192192193,0.5975975975975976
10,1.0284711338981274,1.024291316193051,0.5938438438438438,0.5975975975975976
11,1.0234052306527524,1.0190942335252107,0.5927177177177178,0.5975975975975976
12,1.0183714558805759,1.0139233121646118,0.5927177177177178,0.5960960960960962
13,1.0133648268075806,1.008774063262744,0.5915915915915916,0.5945945945945946
14,1.0083812664830516,1.0036427885796073,0.5908408408408409,0.5945945945945946
15,1.003417331789164,0.9985264043343733,0.5923423423423423,0.5915915915915916
16,0.9984700874146959,0.9934223455440163,0.5912162162162162,0.5930930930930931
17,0.9935370430311199,0.9883285089223874,0.5900900900900901,0.5930930930930931
18,0.9886161177374403,0.9832432147225677,0.5912162162162162,0.5975975975975976
19,0.9837056160927697,0.9781651780342009,0.5912162162162162,0.6186186186186187
20,0.9788042088294873,0.9730934847571645,0.609984984984985,0.6621621621621622
21,0.973910915158659,0.9680275697386896,0.6546546546546547,0.7102102102102102
22,0.9690250852600388,0.9629671957037136,0.7128378378378378,0.7552552552552553
23,0.964146382307481,0.9579124322217146,0.7511261261261262,0.7807807807807807
24,0.9592747637416861,0.9528636343089497,0.7665165165165165,0.7897897897897898
25,0.9544104616918634,0.9478214204890948,0.7725225225225225,0.7897897897897898
26,0.9495539625625249,0.9427866502873736,0.774024024024024,0.7867867867867868
27,0.944705985881366,0.9377604012414469,0.774024024024024,0.7852852852852853
28,0.9398674625644553,0.9327439455898399,0.7736486486486487,0.7867867867867868
29,0.935039512800743,0.9277387268514764,0.7736486486486487,0.7867867867867868
